Neighborhood,City,County,Size Rank,"LIHTC Present? (0 = No, 1 = Yes)",Jul-96,Jan-97,Jul-97,Jan-98,Jul-98,Jan-99,Jul-99,Jan-00,Jul-00,Jan-01,Jul-01,Jan-02,Jul-02,Jan-03,Jul-03,Jan-04,Jul-04,Jan-05,Jul-05,Jan-06,Jul-06,Jan-07,Jul-07,Jan-08,Jul-08,Jan-09,Jul-09,Jan-10,Jul-10,Jan-11,Jul-11,Jan-12,Jul-12,Jan-13,Jul-13,Jan-14,Jul-14,Jan-15,Jul-15,Jan-16,Jul-16,Jan-17,Jul-17
Newell,Charlotte,Mecklenburg,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newell South,Charlotte,Mecklenburg,3138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Central,Raleigh,Wake,1731,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
North Charlotte,Charlotte,Mecklenburg,3454,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
North East Winston,Winston-Salem,Forsyth,4483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Lake,Charlotte,Mecklenburg,2076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Raleigh,Raleigh,Wake,67,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
North Sharon Amity,Charlotte,Mecklenburg,1435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast Raleigh,Raleigh,Wake,123,1,0,2,2,2,2,2,2,2,2,2,3,3,3,3,3,5,5,6,7,7,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,10,10,10
Northwest Raleigh,Raleigh,Wake,90,1,0,0,0,1,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7
